Strategy,N,MAE,RMSE,Median AE,P90 AE,Worst-decile MAE
Final Hybrid,1344,1604.29,2542.22,793.58,4077.40,6228.87
No-weather Direct,1344,1160.06,1791.49,625.24,3152.72,4415.52
Weekly Seasonal Naive,1344,1852.59,2770.62,1103.00,4437.80,6567.76
